Repo,Description,Services
"<a href=""https://github.com/microsoft/semantic-kernel/tree/main/samples/apps"">microsoft/semantic-kernel/apps</a>",Semantic Kernel (SK) samples apps,"Cosmos DB, App Service, AOAI"
"<a href=""https://github.com/azure-samples/semantic-kernel-rag-chat"">azure-samples/semantic-kernel-rag-chat</a>","Tutorial for ChatGPT + Enterprise Data with Semantic Kernel, OpenAI, and Azure Cognitive Search","Azure Cognitive Search, AOAI"
"<a href=""https://github.com/Azure-Samples/azure-search-openai-demo"">Azure-Samples/azure-search-openai-demo</a>","A sample app for the Retrieval-Augmented Generation pattern running in Azure, using Azure Cognitive Search for retrieval and Azure OpenAI large language models to power ChatGPT-style and Q&A experiences.",Azure Cognitive Search
"<a href=""https://github.com/Azure-Samples/openai"">Azure-Samples/openai</a>",The repository for all Azure OpenAI Samples complementing the OpenAI cookbook.,Azure OpenAI (AOAI)
"<a href=""https://github.com/microsoft/azure-openai-in-a-day-workshop"">microsoft/azure-openai-in-a-day-workshop</a>",Technical workshop on Azure OpenAI capabilities,AOAI
"<a href=""https://github.com/microsoft/OpenAIWorkshop"">microsoft/OpenAIWorkshop</a>",workshop materials to build intelligent solutions on Open AI,"AOAI, Power, SQL"
"<a href=""https://github.com/microsoft/Customer-Service-Conversational-Insights-with-Azure-OpenAI-Services"">microsoft/Customer-Service-Conversational-Insights-with-Azure-OpenAI-Services</a>",solution accelerator to extract insights from customer conversations,"Cognitive Search, Bot Framework, Speech"
"<a href=""https://github.com/ahmedbham/azure-openai-api-levelup"">ahmedbham/azure-openai-api-levelup</a>",Tutorials on using Azure OpenAI API in building intelligent applications,"AOAI, Functions, Event Grid, SK"
"<a href=""https://github.com/Azure-Samples/openai-python-enterprise-logging"">Azure-Samples/openai-python-enterprise-logging</a>",Enterprise Azure OpenAI reference architecture,"AOAI, APIM, Monitor, AAD"
"<a href=""https://github.com/Azure/azure-openai-samples"">Azure/azure-openai-samples</a>",collection of code samples illustrating how to use Azure Open AI in creating AI solution for various use cases across industries,"AOAI, Cognitive Services, Power"
"<a href=""https://github.com/Azure-Samples/azure-search-openai-demo-csharp"">Azure-Samples/azure-search-openai-demo-csharp</a>",sample app for the Retrieval-Augmented Generation pattern running in Azure,"AKS, ACA, Redis, Load Testing, Monitor"
"<a href=""https://github.com/Azure/business-process-automation"">Azure/business-process-automation</a>",Business process automation solution accelerator using Azure services,"Event Hubs, Cog Services, Functions"
"<a href=""https://github.com/Azure-Samples/openai-plugin-fastapi"">Azure-Samples/openai-plugin-fastapi</a>",ChatGPT Plugin running in Codespaces for dev and Azure for production,"Plugin, AZD"
"<a href=""https://github.com/Azure-Samples/openai-dotnet-samples"">Azure-Samples/openai-dotnet-samples</a>",Azure OpenAI .NET Samples,"AOAI, dotnet"
"<a href=""https://github.com/ruoccofabrizio/azure-open-ai-embeddings-qna"">ruoccofabrizio/azure-open-ai-embeddings-qna</a>",OpenAI-enabled document search,"Cognitive Services, AOAI"
"<a href=""https://github.com/xuhaoruins/Azure-OpenAI-App-Innovation-Workshop"">xuhaoruins/Azure-OpenAI-App-Innovation-Workshop</a>",Azure OpenAI App Innovation Workshop,AOAI
"<a href=""https://github.com/jakeatmsft/AzureOpenAIExamples"">jakeatmsft/AzureOpenAIExamples</a>","several examples, organized by capabilities and use cases","AOAI, Cog Services"
"<a href=""https://github.com/denlai-mshk/aoai-fwdproxy-funcapp"">denlai-mshk/aoai-fwdproxy-funcapp</a>",Boost up 4x Request per minute for your AOAI Resources,"AppGw, Functions, AOAI"
"<a href=""https://github.com/diemus/azure-openai-proxy"">diemus/azure-openai-proxy</a>",proxy for Azure OpenAI API that can convert an OpenAI request into an Azure OpenAI request,AOAI
"<a href=""https://github.com/pablomarin/GPT-Azure-Search-Engine"">pablomarin/GPT-Azure-Search-Engine</a>",Azure Cognitive Search + Azure OpenAI Accelerator,"Cosmos DB, App Service, Cognitive Search, SQL Database, Storage"
"<a href=""https://github.com/amulchapla/AI-Powered-Call-Center-Intelligence"">amulchapla/AI-Powered-Call-Center-Intelligence</a>",Solution accelerator for Call Centers,"Cognitive Services, PowerBI, SQL, Storage"
